Gene	Identifier	Efficiency	meanCT	CT_stdev	expression	total_cone	percent_cone	Sample.ID	Fieldsite.ID	Locality	Drainage	H2S	Species	Sex
LWS3	245	0.7856	32.88	0.8576712656956627	5.264246920805682e-9	8.614116276626371e-7	0.0061111862804658695	MX14-245	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
LWS3	246	0.7856	31.064999999999998	0.021213203435594716	1.5077333231628783e-8	3.1760411678127875e-6	0.004747209634569044	MX14-246	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
LWS3	247	0.7856	30.21	0.042426406871191945	2.4751413468632893e-8	2.6938924675789776e-6	0.009187973820973331	MX14-247	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
LWS3	248	0.7856	32.145	0.33234018715767905	8.061161500325962e-9	5.638609928871846e-7	0.014296363114337317	MX14-248	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
LWS3	249	0.7856	34.555	0.7424621202458729	1.993415151295821e-9	4.4591202968906586e-7	0.004470422456837121	MX14-249	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
LWS3	260	0.7856	31.47	0.2828427124746205	1.1922077528921477e-8	2.272466013415405e-7	0.05246317198382729	MX14-260	MT14-17	Rio Ixtapangajoya	Ixtapangajoya	0	Poecilia mexicana	0
LWS3	261	0.7856	29.485	0.26162950903902327	3.7682831950324635e-8	2.6471066751524557e-7	0.14235479175826699	MX14-261	MT14-17	Rio Ixtapangajoya	Ixtapangajoya	0	Poecilia mexicana	0
LWS3	262	0.7856	30.995	0.1767766952966369	1.5701799444123593e-8	1.8283388411890208e-7	0.08588013933955627	MX14-262	MT14-17	Rio Ixtapangajoya	Ixtapangajoya	0	Poecilia mexicana	0
LWS3	264	0.7856	26.705	0.021213203435594716	1.8884415456963966e-7	1.2264440453251612e-06	0.1539769835317455	MX14-264	MT14-17	Rio Ixtapangajoya	Ixtapangajoya	0	Poecilia mexicana	0
LWS3	265	0.7856	26.8	0.15556349186103965	1.7872448302141803e-7	1.7403155689772459e-6	0.10269659492068522	MX14-265	MT14-17	Rio Ixtapangajoya	Ixtapangajoya	0	Poecilia mexicana	0
LWS3	266	0.7856	26.545	0.12020815280171177	2.071996486798953e-7	1.4580509689601191e-6	0.14210727408772955	MX14-266	MT14-17	Rio Ixtapangajoya	Ixtapangajoya	0	Poecilia mexicana	0
LWS3	267	0.7856	28.715	0.12020815280171429	5.888671801115907e-8	5.536581234302887e-7	0.10635934978487409	MX14-267	MT14-17	Rio Ixtapangajoya	Ixtapangajoya	0	Poecilia mexicana	0
LWS3	365	0.7856	30.57	0.2545584412271567	2.0088971435350427e-8	1.3222092627293372e-6	0.015193488656918249	MX14-365	MT14-21	El Azufre I	Tacotalpa	1	Poecilia mexicana	0
LWS3	366	0.7856	31.45	0.056568542494922595	1.2061119634287008e-8	3.3439571055519646e-6	0.0036068404149867707	MX14-366	MT14-21	El Azufre I	Tacotalpa	1	Poecilia mexicana	0
